DOMAIN,CDN,CNAME,IP
vortex.hulu.com,Yes,['vortex.hulu.com.akadns.net.'],"['34.213.169.250', '35.162.146.227', '44.239.171.189', '52.26.248.204', '52.32.16.237', '52.32.97.37', '54.148.54.255', '54.187.47.3']"
ib.hulu.com,Yes,"['san.dual-hulu.com.edgekey.net.', 'e1042.dscj.akamaiedge.net.']",['23.56.0.60']
img4.hulu.com,Yes,['dualstack.hulu.map.fastly.net.'],['151.101.77.87']
player.hulu.com,Yes,"['san.hulu.com.edgekey.net.', 'e1042.e12.akamaiedge.net.']",['23.47.131.244']
t2.hulu.com,Yes,"['san.hulu.com.edgekey.net.', 'e1042.e12.akamaiedge.net.']",['23.198.103.37']
img3.hulu.com,Yes,['dualstack.hulu.map.fastly.net.'],['151.101.77.87']
darwin.hulu.com,Yes,['darwin.hulu.com.akadns.net.'],['8.28.124.138']
vpn3.hulu.com,No,Null,['208.91.159.190']
config.hulu.com,Yes,"['config.hulu.com.edgesuite.net.', 'a761.b.akamai.net.']","['223.119.248.16', '223.119.248.24']"
advertising.hulu.com,No,['hulu-advertising.go-vip.net.'],['192.0.66.112']
spanish.hulu.com,Yes,"['redirect.hulu.com.', 'hulu.map.fastly.net.']",['151.101.77.87']
engage.hulu.com,Yes,"['san.dual-hulu.com.edgekey.net.', 'e1042.dscj.akamaiedge.net.']",['23.56.0.60']
img2.hulu.com,Yes,['dualstack.hulu.map.fastly.net.'],['151.101.77.87']
redirect.hulu.com,Yes,['hulu.map.fastly.net.'],['151.101.77.87']
guide.hulu.com,Yes,['hulu.map.fastly.net.'],['151.101.229.87']
aws.hulu.com,Yes,"['redirect.hulu.com.', 'hulu.map.fastly.net.']",['151.101.77.87']
img1.hulu.com,Yes,['dualstack.hulu.map.fastly.net.'],['151.101.229.87']
espanol.hulu.com,Yes,"['redirect.hulu.com.', 'hulu.map.fastly.net.']",['151.101.109.87']
venus.hulu.com,Yes,"['venus.hulu.com.akadns.net.', 'venus-east.hulu.com.akadns.net.']","['18.211.137.207', '35.174.159.149', '52.203.217.7']"
plus.hulu.com,Yes,"['redirect.hulu.com.', 'hulu.map.fastly.net.']",['151.101.109.87']
discover.hulu.com,Yes,"['san.dual-hulu.com.edgekey.net.', 'e1042.dscj.akamaiedge.net.']",['23.56.0.60']
